case,case_type,component_categories,status,errors,warnings,roi_boundary_normalized_lines,standard_format,live_format,standard_width,standard_height,standard_channels,live_width,live_height,live_channels,roi_count,standard_brightness,live_brightness,standard_contrast,live_contrast,standard_sharpness,live_sharpness,brightness_delta,contrast_delta,sharpness_delta,raw_luma_mad,aspect_ratio_delta,mean_roi_relative_area,mean_roi_aspect_ratio,standard_keypoints,live_keypoints,feature_match_count,inlier_count,inlier_rate,reprojection_error_pixels,spatial_coverage,center_displacement_pixels,center_displacement_relative_diagonal,corner_displacement_median_pixels,projected_corners_in_live_frame,projected_area_ratio,projected_geometry_valid,alignment_diagnostic,alignment_diagnostic_reasons,homography_available,ecc_converged,ecc_correlation,valid_overlap_available,valid_overlap_ratio
"110kV万丰站-#1主变_变高中性点套管油位_表计","表计","217","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,162.1193822,156.0056925,74.3343132,70.96325125,955.0549103,881.8058413,6.113689718,3.371061947,73.24906894,17.2954702,0,0.05793748517,0.4387900003,1945,1959,1252,1042,0.8322683706,0.07207999846,0.3427379446,0.03213256073,1.458643431e-05,0.1147962366,2,0.9984658345,true,"usable","",true,true,0.9336338434,true,1
"110kV万丰站-#2主变_变高中性点套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,112.5979919,111.3277763,55.26180534,53.74478642,2812.311549,2727.662233,1.270215567,1.517018923,84.64931525,31.27336757,0,0.009104170552,0.2910126871,2000,2000,607,404,0.665568369,1.241247076,0.6243706421,7.926991887,0.003598423027,7.755427863,0,1.008573827,true,"usable","",true,true,0.890043647,true,0.9882417052
"110kV万安站-#1主变_A相变高套管油位_表计","表计","217","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,108.2592048,131.8467684,68.29746117,30.52325742,1064.606045,1060.501889,23.58756366,37.77420375,4.104155305,71.3635108,0,0.05103539349,0.4072605135,2000,2000,24,12,0.5,0.3894765797,0.09694458159,2.01440422,0.0009144299167,9.98342848,1,0.9945063097,true,"usable","",true,false,,true,0.9948003472
"110kV万安站-#1主变_B相变高套管油位_表计","表计","217","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,109.4186994,128.9556332,43.09756997,40.26743555,1020.688783,1120.536141,19.53693383,2.830134423,99.8473574,55.75942612,0,0.02729210255,0.2946429745,2000,2000,93,85,0.9139784946,0.2191626428,0.1304163712,0.5604321565,0.0002544057072,1.879659654,1,0.9999727967,true,"usable","",true,false,,true,0.9983777006
"110kV万安站-#1主变_变低套管_日常","日常","190","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,3,129.8269145,122.3273804,51.90194978,59.78417697,1098.450794,1557.554574,7.499534144,7.882227193,459.1037799,42.19956694,0,0.03059603446,0.9374800347,2000,2000,148,140,0.9459459459,0.11614013,0.2205952649,0.06431362198,2.919488522e-05,0.1460592872,1,0.9986420592,true,"usable","",true,true,0.5875911912,true,1
"110kV万安站-#1主变_变低穿墙套管_日常","日常","191","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,3,82.99488137,119.1843398,74.0269294,64.81203384,1448.090497,2681.660918,36.18945843,9.214895561,1233.570421,79.18148679,0,0.05684802163,0.6470811992,2000,2000,48,31,0.6458333333,0.5114509193,0.00158689896,122.6488045,0.0556758842,312.1065194,2,0.6419465735,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,true,0.3168266143,true,0.9877141204
"110kV万安站-#1主变_变高中性点套管末屏_日常","日常","180","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,112.8335306,128.6441652,41.3522195,41.63594678,1062.236174,1346.316619,15.81063465,0.2837272822,284.0804451,44.17118441,0,0.01293232118,0.4397019207,2000,2000,99,88,0.8888888889,0.2610677847,0.2089903658,0.8084863716,0.0003670088248,0.4882000119,1,0.9992835686,true,"usable","",true,true,0.2011741946,true,0.9992848187
"110kV万安站-#1主变_有载调压开关瓦斯继电器_日常","日常","200","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,123.2516729,121.8388744,50.17690793,52.23755116,933.8555035,1753.786306,1.412798515,2.060643234,819.9308028,42.12287182,0,0.1148196067,0.6690967553,2000,2000,108,96,0.8888888889,0.5134220394,0.001162802807,108.2272084,0.04912926423,241.5483044,1,1.716783116,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,true,0.4673771347,true,0.6955680941
"110kV万安站-#1主变_油枕_日常","日常","166","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,93.19578655,121.8883994,64.34489912,54.34236004,854.2659347,2953.707731,28.69261285,10.00253909,2099.441797,64.33820891,0,0.4446135516,1.117322828,2000,2000,68,57,0.8382352941,0.5003753906,0.1253606231,1.34326755,0.0006097703834,3.244249346,3,0.9982815786,true,"usable","",true,true,0.2786953703,true,0.9976070602
"110kV万安站-#2主变_112000地刀接线掌_日常","日常","176","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,107.1708382,133.3157007,61.59489571,52.84359084,2950.407834,2907.061771,26.14486256,8.751304861,43.34606329,66.58152247,0,0.0336234864,0.1571471809,2000,2000,54,10,0.1851851852,1.016104683,0.03629601639,57.92387855,0.02629428935,308.1090916,2,1.452377134,true,"unreliable","inlier rate below diagnostic minimum (0.40)",true,true,0.4581550071,true,0.7786482446
"110kV万安站-#2主变_变低母线桥_日常","日常","194","valid","","ROI boundary normalized at line 3",1,"jpg","jpg",1920,1080,3,1920,1080,3,3,103.0422647,121.8087703,63.66612545,74.38729683,3489.453304,6851.651429,18.76650559,10.72117138,3362.198125,83.44287326,0,0.1367075327,0.8260504698,2000,2000,21,10,0.4761904762,0.7631655229,0.007432416012,11.06535676,0.005023069927,99.51835628,2,0.9320036673,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02)",true,false,,true,0.9712292631
"110kV万安站-#2主变_变高B相套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,89.66397569,119.9846957,64.00805056,53.83645115,847.9528534,3182.774238,30.32072,10.17159941,2334.821385,71.54993586,0,0.05466259184,0.4634671845,2000,2000,25,21,0.84,0.3517468565,0.08164282622,0.1256946396,5.705852761e-05,7.029821206,2,0.9984762252,true,"unreliable","ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.1231845923,true,0.995356385
"110kV万安站-#2主变_变高中性点套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,105.2481371,126.7037842,55.38476183,48.12813853,785.2843274,2669.010662,21.45564718,7.256623295,1883.726335,53.26979456,0,0.0418777539,0.3608154404,2000,2000,132,119,0.9015151515,0.2405839278,0.08560358276,0.2710594997,0.0001230462651,1.07313557,1,0.9976778568,true,"usable","",true,true,0.2374754944,true,1
