group_dimension,group_value,case_count,valid_cases,incomplete_cases,invalid_cases,roi_boundary_normalized_cases,roi_boundary_normalized_lines,homography_available_cases,ecc_converged_cases,valid_overlap_available_cases,alignment_unavailable_cases,alignment_unreliable_cases,alignment_usable_cases,mean_raw_luma_mad,mean_feature_match_count,mean_inlier_rate,mean_reprojection_error_pixels,mean_spatial_coverage,mean_center_displacement_relative_diagonal,mean_projected_area_ratio,mean_ecc_correlation,mean_valid_overlap_ratio
"component_category","148",3,3,0,0,0,0,3,1,3,0,0,3,69.97057806,114,0.730316506,0.4374832002,0.1921884467,0.000441558236,1.000402493,0.2064906975,0.9908799511
"component_category","149",3,3,0,0,0,0,3,2,3,0,0,3,49.93768052,176.3333333,0.7035618382,0.8774741366,0.3096796277,0.003468612684,1.001825434,0.7541116038,0.9897352431
"component_category","166",2,2,0,0,0,0,2,1,2,0,0,2,67.05192279,76.5,0.6779411765,0.4259753047,0.1131638036,0.0005215737319,0.996579074,0.2786953703,0.9962696217
"component_category","168",3,3,0,0,1,1,3,2,3,0,1,2,44.19550967,570,0.8793543851,0.3869733695,0.2029075264,0.002807699481,0.998713931,0.6845731248,0.9956537744
"component_category","172",10,10,0,0,2,2,10,10,10,0,2,8,50.202163,215.2,0.8381119551,0.3866093176,0.1961470195,0.002876987468,1.011130849,0.4878096446,0.9809490741
"component_category","173",5,5,0,0,0,0,5,4,4,1,1,3,49.7263851,88.8,0.6859697637,0.5937262826,0.1888881226,0.006064283191,0.9844979396,0.4218314755,0.9848149429
"component_category","174",2,2,0,0,0,0,2,2,2,0,0,2,34.82618321,378,0.8893072289,0.9226415289,0.5911480747,0.0006659757795,0.9975868559,0.8243532631,0.9995421007
"component_category","175",15,15,0,0,2,2,15,14,14,1,3,11,45.52614302,193.5333333,0.7460877898,0.6566698869,0.271789518,0.005059067173,0.9917561128,0.603266947,0.9797670395
"component_category","176",52,52,0,0,1,1,52,46,51,1,13,38,46.77178938,278.9615385,0.7636124318,0.4167271208,0.2054904155,0.004049672518,0.9999317532,0.5064029872,0.9883281277
"component_category","177",45,45,0,0,0,0,45,39,44,1,9,35,45.49029348,297.7555556,0.7854683578,0.4052776171,0.2124115582,0.003485991465,0.98806004,0.5471802361,0.9942717081
"component_category","178",44,44,0,0,3,3,44,38,42,2,10,32,57.02358474,133.7272727,0.7437364312,0.4948192249,0.1789775412,0.01119903305,0.9566721346,0.4085654757,0.9937917802
"component_category","179",50,50,0,0,2,2,50,43,48,2,13,35,57.96399296,127.46,0.7278578625,0.4866426442,0.1811397553,0.01855027958,0.9438478395,0.386274226,0.9930084643
"component_category","180",41,40,0,1,0,0,40,37,39,2,5,34,50.71764522,194.225,0.8253104614,0.3430639681,0.2070846366,0.00364951133,0.9878486548,0.4754291377,0.9952040016
"component_category","181",1,1,0,0,1,1,1,0,1,0,0,1,74.16692853,51,0.862745098,0.3082180094,0.1130672562,0.0001852595766,0.9969671403,,1
"component_category","184",1,1,0,0,0,0,1,1,1,0,0,1,54.99040606,147,0.7959183673,0.3624138179,0.2380736737,0.0001227109952,0.9978339458,0.2328250308,0.9999956597
"component_category","185",2,2,0,0,0,0,2,2,2,0,1,1,62.64028815,336.5,0.8123438281,0.1165827261,0.1529986671,0.07114295641,0.8949841778,0.4842869143,0.6865593654
"component_category","187",4,4,0,0,0,0,4,2,4,0,1,3,72.24877038,162,0.6947730379,0.5230040278,0.1122489432,0.001943845517,0.9962436459,0.3114759262,0.9927955006
"component_category","188",5,5,0,0,0,0,5,5,5,0,2,3,45.83757368,109.8,0.6434713344,0.4876137526,0.1795089494,0.005761348515,0.9980958749,0.5239654976,0.9871974404
"component_category","189",1,1,0,0,0,0,1,0,1,0,0,1,81.16122444,194,0.9690721649,0.203976554,0.1028961214,0.0001668067726,0.9976842101,,1
"component_category","190",11,11,0,0,0,0,11,10,10,1,3,7,59.78017291,152.7272727,0.7617695512,0.4587829746,0.1488885982,0.005905283864,1.032746806,0.4531030495,0.9679157986
"component_category","191",4,4,0,0,0,0,4,4,4,0,3,1,64.88813998,55.5,0.7018515918,0.4032267413,0.04635697862,0.01770461623,0.9036465069,0.2632160428,0.9866221788
"component_category","193",11,11,0,0,0,0,11,11,11,0,1,10,43.14132373,240.8181818,0.7717477966,0.6591840032,0.2557687901,0.004506038032,0.9920139693,0.5834997578,0.9911067845
"component_category","194",9,9,0,0,3,3,9,7,9,0,6,3,68.78660071,76.66666667,0.6574581734,0.5217647368,0.08416043251,0.006917272759,1.066255098,0.2119318502,0.9449713327
"component_category","199",1,1,0,0,0,0,1,1,1,0,1,0,77.30990644,116,0.7931034483,0.2528978743,0.00591514837,0.001893352391,0.9809996889,0.05576244755,0.9999609375
"component_category","200",3,3,0,0,0,0,3,2,3,0,1,2,49.37361626,171.3333333,0.8902932234,0.4085089952,0.1247716456,0.01669359032,1.235931011,0.5730840694,0.8963491834
"component_category","201",5,5,0,0,0,0,5,5,5,0,2,3,53.88503897,146,0.8667940778,0.3700955065,0.1908788317,0.005811632399,1.041542851,0.3543989597,0.9679724151
"component_category","202",1,1,0,0,0,0,1,1,1,0,0,1,22.04344763,865,0.7283236994,0.1204973444,0.1687930682,4.027993785e-05,0.9983109842,0.8991993916,0.9997926312
"component_category","204",2,2,0,0,0,0,2,2,2,0,0,2,22.54343485,664,0.7032547223,0.5071561175,0.2624440496,0.002686215738,1.005527163,0.900293491,0.9895970775
