candidate_rank,case,case_type,center_displacement_pixels,center_displacement_relative_diagonal,corner_displacement_median_pixels,ecc_clahe_error,ecc_masked_clahe,ecc_masked_raw,ecc_raw_error,errors,feature_match_count,geometry_class,geometry_reasons,homography_available,inlier_count,inlier_rate,live_blue_mean,live_green_mean,live_height,live_illumination_band,live_luma_mean,live_luma_p10,live_luma_p50,live_luma_p90,live_luma_std,live_path,live_red_mean,live_width,projected_area_ratio,projected_corners_in_live_frame,projected_geometry_valid,recommended,reference_blue_mean,reference_count,reference_filename,reference_green_mean,reference_height,reference_id,reference_illumination_band,reference_luma_mean,reference_luma_p10,reference_luma_p50,reference_luma_p90,reference_luma_std,reference_path,reference_red_mean,reference_width,reprojection_error_pixels,roi_count,roi_normalized_lines,spatial_coverage,style_band_match,style_distance,valid_overlap_available,valid_overlap_ratio
1,110kV万丰站-#1主变_变高中性点套管油位_表计,表计,0.03154826872620218,1.4321197531452752e-05,0.11180451698601246,,0.9625869521478497,0.9767030943707639,,,1252,usable,,True,1042,0.8322683706070287,151.20463300540123,155.48881269290123,1080,bright,156.0048828125,48.5,199.0,215.0,67.35118865966797,all_test\110kV万丰站-#1主变_变高中性点套管油位_表计\对比截图.jpg,158.86819733796295,1920,0.998464875838302,2,True,True,156.7507740162037,1,标准源图.jpg,161.88624903549382,1080,standard,bright,162.11767578125,51.5,208.0,225.0,70.7524642944336,all_test\110kV万丰站-#1主变_变高中性点套管油位_表计\标准源图.jpg,164.61850983796296,1920,0.07204343378543854,1,0,0.34273794459266715,True,0.02862047089029735,True,1.0
1,110kV万丰站-#2主变_变高中性点套管接线掌_日常,日常,7.92699188703612,0.003598423026940339,7.755430221557617,,0.9728076092344369,0.973750612510575,,,607,usable,,True,404,0.6655683690280065,108.65510513117285,108.28771894290124,1080,medium,111.32568359375,62.5,116.0,150.0,34.81050109863281,all_test\110kV万丰站-#2主变_变高中性点套管接线掌_日常\对比截图.jpg,118.29415605709876,1920,1.0085738326524758,0,True,True,109.70331404320987,1,标准源图.jpg,109.67977141203704,1080,standard,medium,112.58984375,63.0,116.5,153.0,35.574031829833984,all_test\110kV万丰站-#2主变_变高中性点套管接线掌_日常\标准源图.jpg,119.4197550154321,1920,1.2412481307983398,2,0,0.6243706421442603,True,0.0045792407104418825,True,0.9882417052469136
1,110kV万安站-#1主变_A相变高套管油位_表计,表计,2.0205241332171657,0.0009172080243134717,10.218283414840698,OpenCV(5.0.0) D:\a\opencv-python\opencv-python\opencv\modules\video\src\ecc.cpp:597: error: (-7:Iterations do not converge) The algorithm stopped before its convergence. The correlation is going to be minimized. Images may be uncorrelated or non-overlapped in function 'cv::findTransformECCWithMask',,,OpenCV(5.0.0) D:\a\opencv-python\opencv-python\opencv\modules\video\src\ecc.cpp:597: error: (-7:Iterations do not converge) The algorithm stopped before its convergence. The correlation is going to be minimized. Images may be uncorrelated or non-overlapped in function 'cv::findTransformECCWithMask',,24,usable,,True,12,0.5,129.9389597800926,132.69206404320988,1080,bright,131.842041015625,98.0,136.0,158.0,25.101701736450195,all_test\110kV万安站-#1主变_A相变高套管油位_表计\对比截图.jpg,130.56004002700618,1920,0.99440480789723,1,True,True,108.26010271990741,1,标准源图.jpg,108.25831018518518,1080,standard,medium,108.254150390625,36.0,114.0,194.0,65.44910430908203,all_test\110kV万安站-#1主变_A相变高套管油位_表计\标准源图.jpg,108.26031828703704,1920,0.3895554542541504,1,0,0.0969445815873724,False,0.1530347506558694,True,0.9947067901234568
1,110kV万安站-#1主变_B相变高套管油位_表计,表计,0.5585279259212212,0.0002535412901217963,1.9457960724830627,,0.110280328575437,,OpenCV(5.0.0) D:\a\opencv-python\opencv-python\opencv\modules\video\src\ecc.cpp:597: error: (-7:Iterations do not converge) The algorithm stopped before its convergence. The correlation is going to be minimized. Images may be uncorrelated or non-overlapped in function 'cv::findTransformECCWithMask',,93,usable,,True,85,0.9139784946236559,127.4151099537037,130.1027912808642,1080,bright,128.95654296875,83.0,135.0,172.0,36.24337387084961,all_test\110kV万安站-#1主变_B相变高套管油位_表计\对比截图.jpg,127.00204957561728,1920,1.0000235991571549,1,True,True,109.41981433256173,1,标准源图.jpg,109.41758825231481,1080,standard,dark,109.422607421875,61.0,99.0,163.0,39.537933349609375,all_test\110kV万安站-#1主变_B相变高套管油位_表计\标准源图.jpg,109.4201634837963,1920,0.21985040605068207,1,0,0.13041637122674055,False,0.08625652142760067,True,0.99828125
2,110kV万安站-#1主变_变低套管_日常,日常,0.06422917153845847,2.915654931390456e-05,0.14613068476319313,,0.41265814698689,0.6005635093558346,,,148,usable,,True,140,0.9459459459459459,121.25589168595678,122.44680941358024,1080,bright,122.334716796875,39.5,125.0,193.0,53.50962829589844,all_test\110kV万安站-#1主变_变低套管_日常\对比截图.jpg,122.59429880401234,1920,0.998642122395375,1,True,True,129.82761477623455,3,标准源图.jpg,129.825870466821,1080,standard,bright,129.82568359375,63.0,132.0,193.0,47.06281280517578,all_test\110kV万安站-#1主变_变低套管_日常\标准源图.jpg,129.8284413580247,1920,0.11613531410694122,3,0,0.22059526485517617,True,0.037065851410264264,True,1.0
1,110kV万安站-#1主变_变低套管_日常,日常,0.8757015145183467,0.00039752084264432774,2.3247216194868088,,0.9140169397978588,0.9333501063018759,,,333,usable,,True,292,0.8768768768768769,121.25589168595678,122.44680941358024,1080,bright,122.334716796875,39.5,125.0,193.0,53.50962829589844,all_test\110kV万安站-#1主变_变低套管_日常\对比截图.jpg,122.59429880401234,1920,0.9972966021133769,2,True,True,129.38102189429011,3,新增标准源图0.jpg,132.0182103587963,1080,added_0,bright,132.099853515625,56.5,135.0,194.0,51.06150436401367,all_test\110kV万安站-#1主变_变低套管_日常\新增标准源图0.jpg,133.3193074845679,1920,0.6187961101531982,3,0,0.6893627423520471,True,0.03465977143567138,True,0.9984543788580247
3,110kV万安站-#1主变_变低套管_日常,日常,3.887069454856411,0.0017645180458108884,5.786475896835327,,0.9813930794737776,0.9878285899786658,,,702,usable,,True,556,0.792022792022792,121.25589168595678,122.44680941358024,1080,bright,122.334716796875,39.5,125.0,193.0,53.50962829589844,all_test\110kV万安站-#1主变_变低套管_日常\对比截图.jpg,122.59429880401234,1920,0.9986058242152172,1,True,True,131.55431568287037,3,新增标准源图1.jpg,134.682511091821,1080,added_1,bright,134.586669921875,49.0,137.0,208.0,54.83249282836914,all_test\110kV万安站-#1主变_变低套管_日常\新增标准源图1.jpg,135.64629484953704,1920,0.8948767185211182,3,0,0.6290586210826439,True,0.04178012750185235,True,0.9957002314814815
,110kV万安站-#1主变_变低穿墙套管_日常,日常,324.31259660947745,0.147220273742793,381.7604560852051,,,,,,48,degraded,inlier spatial coverage below geometry minimum (0.02),True,31,0.6458333333333334,116.46589554398147,118.19031008873456,1080,bright,119.177490234375,38.0,130.0,186.0,54.37596130371094,all_test\110kV万安站-#1主变_变低穿墙套管_日常\对比截图.jpg,122.176640625,1920,0.27217539094349374,3,True,False,81.51280381944444,2,标准源图.jpg,82.91425298996914,1080,standard,dark,82.998779296875,7.0,68.0,190.0,68.19780731201172,all_test\110kV万安站-#1主变_变低穿墙套管_日常\标准源图.jpg,83.71251350308641,1920,0.6774334907531738,3,0,0.0015868989600660566,False,0.15032745427803548,True,0.9979701967592592
1,110kV万安站-#1主变_变低穿墙套管_日常,日常,1.3896744216988084,0.0006308365783960346,2.737562656402588,,0.9871109813720534,0.990309391322944,,,1239,usable,,True,1189,0.9596448748991122,116.46589554398147,118.19031008873456,1080,bright,119.177490234375,38.0,130.0,186.0,54.37596130371094,all_test\110kV万安站-#1主变_变低穿墙套管_日常\对比截图.jpg,122.176640625,1920,0.9987223607314717,2,True,True,120.45445216049383,2,新增标准源图0.jpg,123.44823061342592,1080,added_0,bright,124.661376953125,41.0,136.0,189.5,54.976261138916016,all_test\110kV万安站-#1主变_变低穿墙套管_日常\新增标准源图0.jpg,128.679034529321,1920,0.9288316965103149,3,0,0.8062727994448821,True,0.016957594886776353,True,0.9981163194444445
1,110kV万安站-#1主变_变高中性点套管末屏_日常,日常,0.8084863715814639,0.0003670088247755168,0.4882713556289673,,0.274470281685968,0.2510830886116341,,,99,usable,,True,88,0.8888888888888888,127.43659866898147,129.24666039737653,1080,bright,128.6416015625,87.0,131.0,171.0,34.319786071777344,all_test\110kV万安站-#1主变_变高中性点套管末屏_日常\对比截图.jpg,127.81520543981482,1920,0.9992835443938477,1,True,True,112.83427324459876,1,标准源图.jpg,112.83252073688271,1080,standard,medium,112.837158203125,70.0,111.0,163.5,36.10713577270508,all_test\110kV万安站-#1主变_变高中性点套管末屏_日常\标准源图.jpg,112.83498794367284,1920,0.2610684335231781,1,0,0.20899036580595107,False,0.055998140236260416,True,0.9992848186728395
