case,case_type,degraded_reference_count,discovery_errors,recommended_reference_ids,reference_count,selected_geometry_class,selected_reference_filename,selected_reference_id,selection_pool,unavailable_reference_count,usable_reference_count
110kV万丰站-#1主变_变高中性点套管油位_表计,表计,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万丰站-#2主变_变高中性点套管接线掌_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#1主变_A相变高套管油位_表计,表计,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#1主变_B相变高套管油位_表计,表计,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#1主变_变低套管_日常,日常,0,,added_0|standard|added_1,3,usable,新增标准源图0.jpg,added_0,usable,0,3
110kV万安站-#1主变_变低穿墙套管_日常,日常,1,,added_0,2,usable,新增标准源图0.jpg,added_0,usable,0,1
110kV万安站-#1主变_变高中性点套管末屏_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#1主变_有载调压开关瓦斯继电器_日常,日常,1,,added_0,2,usable,新增标准源图0.jpg,added_0,usable,0,1
110kV万安站-#1主变_油枕_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#2主变_112000地刀接线掌_日常,日常,1,,standard,1,degraded,标准源图.jpg,standard,degraded,0,0
110kV万安站-#2主变_变低母线桥_日常,日常,1,,standard,1,degraded,标准源图.jpg,standard,degraded,0,0
110kV万安站-#2主变_变高B相套管_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#2主变_变高中性点套管_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#2主变_变高中性点套管接线掌_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#3主变_变低母线桥_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV万安站-#3主变_顶盖_日常,日常,1,,standard,1,degraded,标准源图.jpg,standard,degraded,0,0
110kV上村站-#2主变变高套管A相油位,UNSPECIFIED,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV上村站-#3主变_B相变高套管油位_表计,表计,0,,added_0|standard,2,usable,新增标准源图0.jpg,added_0,usable,0,2
110kV上村站-#3主变_变高中性点套管末屏_日常,日常,0,,standard|added_1|added_0,3,usable,标准源图.jpg,standard,usable,0,3
110kV上步站-#1主变_变低避雷器_日常,日常,0,,standard|added_0,2,usable,标准源图.jpg,standard,usable,0,2
110kV上洞站-#3主变_B相变高套管接线掌_日常,日常,0,,standard|added_0|added_1,3,usable,标准源图.jpg,standard,usable,0,3
110kV中心城站-#3主变_B相变高套管接线掌_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV丹竹头站-#1主变_变低避雷器_日常,日常,0,,standard|added_0,2,usable,标准源图.jpg,standard,usable,0,2
110kV丹荷站-#1主变_A相变高套管接线掌_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV丹荷站-#2主变_A相变高套管油位表_表计,表计,1,,standard,1,degraded,标准源图.jpg,standard,degraded,0,0
110kV云帆站-#1主变_变高中性点套管接线掌_日常,日常,0,,added_0|standard,2,usable,新增标准源图0.jpg,added_0,usable,0,2
110kV亿埔站-#1主变_本体呼吸器_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV佳伟站-#1主变_绝缘子_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV光明站-#2主变_上方构架绝缘子_日常,日常,1,,added_0,2,usable,新增标准源图0.jpg,added_0,usable,0,1
110kV光明站-#3主变_C相变高套管末屏_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV光明站-#3主变_穿墙套管侧通道_日常,日常,0,,standard,1,usable,标准源图.jpg,standard,usable,0,1
110kV八卦岭站-#2主变_散热片_日常,日常,0,,added_0|standard,2,usable,新增标准源图0.jpg,added_0,usable,0,2
